Unnamed: 0,Al,Sc,V,Cr,Mn,Fe(II),Fe(III),Co,Cu,Zn,In,MA-Fe,MA-Co,c_2py,c_epox,c_uf1,c_uf3,c_uf4
174,0,0,50,0,50,0,0,0,0,0,0,0,100,0.377788606,0.0,0.0,0.05758593,0.0
175,0,0,50,50,0,0,0,0,0,0,0,0,100,0.34286341,0.0,0.0,0.088973447,0.0
178,0,50,0,0,0,0,0,0,0,50,0,0,100,0.391444565,0.0,0.0,0.026849486,0.0
179,0,50,0,0,0,0,0,0,50,0,0,0,100,0.219805467,0.166490016,0.0,0.105003004,0.0
181,0,50,0,0,0,0,50,0,0,0,0,0,100,0.357110714,0.0,0.0,0.055633926,0.0
183,0,50,0,0,50,0,0,0,0,0,0,0,100,0.21415002,0.037817494,0.0,0.162817536,0.0
185,0,50,50,0,0,0,0,0,0,0,0,0,100,0.339639716,0.0,0.0,0.067391216,0.0
186,0,100,0,0,0,0,0,0,0,0,0,0,100,0.422328961,0.0,0.0,0.036634895,0.0
187,50,0,0,0,0,0,0,0,0,0,50,0,100,0.415437314,0.0,0.0,0.034655498,0.0
188,50,0,0,0,0,0,0,0,0,50,0,0,100,0.424254556,0.0,0.0,0.038327782,0.0
189,50,0,0,0,0,0,0,0,50,0,0,0,100,0.22972355,0.182174846,0.0,0.072358082,0.0
190,50,0,0,0,0,0,0,50,0,0,0,0,100,0.324541299,0.0,0.0,0.129260969,0.0
191,50,0,0,0,0,0,50,0,0,0,0,0,100,0.393058333,0.0,0.0,0.043632773,0.0
192,50,0,0,0,0,50,0,0,0,0,0,0,100,0.370182443,0.0,0.0,0.048867294,0.0
193,50,0,0,0,50,0,0,0,0,0,0,0,100,0.189283512,0.034486614,0.0,0.219271319,0.0
194,50,0,0,50,0,0,0,0,0,0,0,0,100,0.379010069,0.0,0.0,0.053757534,0.0
195,50,0,50,0,0,0,0,0,0,0,0,0,100,0.348805142,0.0,0.0,0.064849439,0.0
196,50,50,0,0,0,0,0,0,0,0,0,0,100,0.42200799,0.0,0.0,0.036114604,0.0
197,100,0,0,0,0,0,0,0,0,0,0,0,100,0.430333469,0.0,0.0,0.049370163,0.0
