Unnamed: 0,S1,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
293,0.12688688621866193,-0.0006468253968254006,0.017092970521541948,0.009990240240240238,0.011048339786460162,0.0008888888888888852,-0.007429610238510766,0.009243038875544875,-0.00726359338061466,0.003888888888888885,0.015241452991452987
294,0.11926909954012757,-0.0022579365079365117,0.013981859410430834,0.009034534534534532,0.010617270913997414,0.0006019303201506552,-0.008040721349621877,0.006798060670758824,-0.008374704491725771,0.003120023767082587,0.013460470085470085
295,0.10732759729021413,-0.0021332671957671996,0.01232123960695389,0.0072752752752752725,0.009218096132034882,-0.0003331763967357223,-0.008209230172580961,0.004704934317824628,-0.008672970843183614,0.003689641513170922,0.012363069800569799
296,0.08987941947287742,-0.0018925264550264588,0.011160619803476945,0.005326826826826823,0.007958836872775621,-0.0015924356559949818,-0.00846848943184022,0.0027774071108738812,-0.009752561071710011,0.004759259259259256,0.010103810541310536
297,0.07115346387776295,-0.002313492063492068,0.010021541950113375,0.004478978978978975,0.006921799835738584,-0.0021294726930320192,-0.007596276905177433,0.0012393025531536306,-0.00964893617021277,0.004551099227569811,0.009560363247863243
298,0.052499357167581466,-0.0019937169312169343,0.008925925925925922,0.00399349349349349,0.007625503539442288,-0.0014257689893283137,-0.007392573201473728,0.0011070041218159694,-0.009855397951142634,0.0054259259259259235,0.008762464387464383
299,0.03553933639914948,-0.0026554232804232854,0.006348828420256988,0.0035265265265265223,0.007527768000312874,-0.0008518518518518562,-0.008670350979251508,-0.00017184117664502342,-0.010133175728920413,0.004376312141018019,0.007149750712250707
300,0.0237319141571478,-0.0026183862433862477,0.005185185185185181,0.0037189689689689654,0.007704720560053184,9.337727558062674e-06,-0.008724064378514643,-0.0008020045666162594,-0.010506304176516946,0.0038563081798375877,0.006185185185185183
301,0.0151304208079909,-0.0016603835978836023,0.003959939531368098,0.003793043043043039,0.007458836872775621,-0.00024074074074074536,-0.008559239868140396,-0.002395130919550459,-0.010611899133175734,0.003487423252129129,0.004924323361823357
302,0.009477822281560595,-0.001975198412698417,0.003145124716553283,0.0034782282282282227,0.007004106535257532,-0.00023140301318267834,-0.007783304246655037,-0.0028771461613735475,-0.01078605200945627,0.0022296494355317836,0.005106303418803414
303,0.006855585224744101,-0.0007529761904761949,0.0031666666666666623,0.004200450450450446,0.008726328757479758,0.0009908192090395437,-0.005651832460732989,-0.0016559914598345377,-0.009204491725768326,0.003109625668449193,0.005661858974358972
304,0.004221505216832317,0.0003346560846560801,0.003870370370370366,0.0049041541541541495,0.010069947983886733,0.0021945229127432477,-0.0024481287570292847,-0.0002856210894641679,-0.006860126083530343,0.004142206377500491,0.007360754985754981
305,0.001089650398061609,0.0006395502645502601,0.0034074074074074024,0.0049411911911911854,0.009967069498220496,0.0027315599497802837,-0.0014110917199922478,-8.35186667852836e-05,-0.006963750985027585,0.004122202416320058,0.006896189458689453
306,-0.003373312564901354,0.0001765873015872973,0.002243764172335596,0.004789039039039034,0.009644022057960805,0.0024444444444444396,-0.001783304246655036,-0.0018808824837647936,-0.00796572104018913,0.0038874034462269705,0.005431623931623929
307,-0.005019235523908425,0.0011296296296296245,0.002428949357520781,0.003974224224224218,0.008509249481794356,0.0019537821720025067,-0.001598119061469851,-0.003029564392254549,-0.008550039401103236,0.0030725886314121554,0.004615206552706548
308,-0.004338500717005391,0.0018802910052910023,0.0022467876039304587,0.004992742742742739,0.00970781023896124,0.0028239956057752647,-0.0007611014155516791,-0.0026782463007443014,-0.008531520882584714,0.0037622301445830826,0.004633725071225068
309,-0.00311627849478317,0.0023346560846560817,0.0031696900982615237,0.006404154154154151,0.010749990222535099,0.003694522912743249,5.1871242970716834e-05,-0.001788823651513806,-0.007539795114263202,0.0040985343632402435,0.006184472934472931
310,-0.002750358502694953,0.0021544312169312144,0.0036727135298563847,0.005607857857857856,0.009813778403535528,0.0028982266164469537,-0.0008351754896257535,-0.0005856537081517084,-0.006797084318360916,0.004402951079421666,0.007719907407407405
